,Unnamed: 0,Worksheet Filter,Measure Display,Number of Records,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,City,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Period Begin,Period Duration,Period End,Price Drops,Price Drops Mom,Price Drops Yoy,Property Type,Region,Region Type,Sold Above List,Sold Above List Mom,Sold Above List Yoy,State,State Code,Table Id,place_name
79040,3350796,Value,,1,0.984470746,0.0%,-0.1%,Apple Valley,48.0,-36.8%,-15.8%,229.0,-3.8%,3.2%,51.0,-10.0,-11.0,134.68052348,-0.007338158000000002,0.12092931,250500.0,-0.007331088,0.077419355,127.09409531200001,0.024185414,0.10176272,$215K,-10.5%,7.5%,4.8,1.7,0.9,87.0,8.7%,-14.7%,2/1/2017,30,2/28/2017,0.013100437,-0.007907967,-0.01392659,All Residential,"Apple Valley, CA",place,0.3125,0.023026316,-0.003289474,California,CA,619.0,Apple Valley
79041,3350797,Value,,1,0.993261102,1.2%,1.0%,Aptos,16.0,-40.7%,-15.8%,72.0,4.3%,-6.5%,49.0,-22.0,-42.0,485.563789575,-0.111417,-0.041454665,811950.0,0.047677419000000006,-0.043639576,514.9482147,0.08079014400000001,0.221505067,$772K,-22.1%,-7.0%,4.5,1.9,0.4,28.0,47.4%,-39.1%,2/1/2017,30,2/28/2017,0.013888889,,,All Residential,"Aptos, CA",place,0.4375,0.252314815,0.226973684,California,CA,21242.0,Aptos
79042,3350798,Value,,1,0.980376701,2.6%,0.4%,Arcadia,42.0,-19.2%,-16.0%,237.0,-3.3%,-15.1%,74.0,-13.0,19.0,543.786160851,-0.008623285,0.032565753,1121900.0,-0.10248,-0.11312253,483.635200484,-0.043403726,0.118111815,$948K,-21.6%,12.1%,5.6,0.9,0.0,66.0,-24.1%,-44.1%,2/1/2017,30,2/28/2017,0.016877637,0.008714372,-0.00104351,All Residential,"Arcadia, CA",place,0.261904762,0.12728937699999998,0.041904762000000005,California,CA,645.0,Arcadia
79043,3350799,Value,,1,0.992066003,0.7%,1.0%,Arden-Arcade,75.0,-6.3%,8.7%,130.0,-7.8%,-31.9%,31.0,-13.0,-13.0,215.544871795,-0.017572328,0.103693621,329900.0,0.034169279,0.118305085,202.223557692,0.021230491,0.188722826,$330K,14.8%,26.9%,1.7,-0.1,-1.1,99.0,25.3%,-28.8%,2/1/2017,30,2/28/2017,0.015384615,-0.020076378,0.010149013,All Residential,"Arden-Arcade, CA",place,0.333333333,0.008333333,0.043478261,California,CA,21251.0,Arden-Arcade
79044,3350800,Value,,1,0.981635655,1.6%,-0.4%,Arroyo Grande,19.0,-13.6%,26.7%,94.0,2.2%,1.1%,51.0,-30.0,9.0,348.790322581,-0.054390681,0.038829555,689000.0,0.138842975,0.06163328200000001,320.53219904400004,-0.026575184,-0.10528201,$589K,11.7%,28.0%,4.9,0.7,-1.3,32.0,-13.5%,-28.9%,2/1/2017,30,2/28/2017,,,,All Residential,"Arroyo Grande, CA",place,0.105263158,0.014354067,-0.16140351,California,CA,756.0,Arroyo Grande
79045,3350801,Value,,1,0.952095098,-1.3%,-3.7%,Atascadero,26.0,-21.2%,4.0%,72.0,-21.7%,-25.0%,73.0,9.0,45.0,307.734204793,0.174693276,0.09531209,435000.0,-0.01794785,0.090498872,270.101434792,0.06111278,0.218925092,$407K,-14.3%,4.8%,2.8,0.0,-1.0,29.0,-9.4%,-48.2%,2/1/2017,30,2/28/2017,0.027777778,0.016908213000000002,0.017361111000000002,All Residential,"Atascadero, CA",place,0.0,-0.12121212,-0.2,California,CA,809.0,Atascadero
79046,3350802,Value,,1,0.998155075,2.1%,3.2%,Atwater,27.0,68.8%,17.4%,65.0,0.0%,-28.6%,41.0,-5.0,-23.0,150.423330198,0.073235538,0.044933977,210000.0,-0.17647059,-0.08256880700000001,147.891755821,0.04172414,0.239558612,$240K,14.3%,11.6%,2.4,-1.7,-1.6,23.0,-20.7%,-47.7%,2/1/2017,30,2/28/2017,0.030769231,0.015384615,,All Residential,"Atwater, CA",place,0.37037037,0.18287037,0.196457327,California,CA,844.0,Atwater
79047,3350803,Value,,1,0.983913007,1.6%,0.6%,Auburn,49.0,4.3%,-2.0%,91.0,-11.7%,-34.1%,38.0,-1.0,-34.0,232.02614379099998,0.043826888,0.08622508400000001,445000.0,-0.15238095,-0.010011123,221.125370188,-0.000861042,0.177714578,$420K,-4.0%,26.7%,1.9,-0.3,-0.9,51.0,18.6%,-30.1%,2/1/2017,30,2/28/2017,,,,All Residential,"Auburn, CA",place,0.12244898,-0.026487191,-0.020408163,California,CA,856.0,Auburn
79048,3350804,Value,,1,0.987272061,-0.3%,-1.1%,Azusa,30.0,-21.1%,-11.8%,109.0,-9.9%,16.0%,64.0,8.0,3.0,310.119695321,-0.037559566,0.05656533,460000.0,0.15028757199999998,0.069767442,304.402860021,-0.010124687,0.095249473,$409K,-2.1%,0.4%,3.6,0.4,0.8,43.0,-21.8%,-21.8%,2/1/2017,30,2/28/2017,0.009174312,-0.015619077,,All Residential,"Azusa, CA",place,0.266666667,0.08245614,0.090196078,California,CA,921.0,Azusa
79049,3350805,Value,,1,0.997082363,0.3%,-0.1%,Bakersfield,431.0,2.1%,-6.3%,1319.0,-5.5%,-23.1%,50.0,6.0,-8.0,133.099112426,0.029668456,0.05180762,232250.0,0.05808656,0.055681818,127.12742529,0.016171886,0.039619834,$214K,-0.5%,-1.4%,3.1,-0.2,-0.6,650.0,-0.3%,-18.1%,2/1/2017,30,2/28/2017,0.033358605,0.00470531,0.009465831,All Residential,"Bakersfield, CA",place,0.106728538,-0.033081888,-0.062836679,California,CA,953.0,Bakersfield
79050,3350806,Value,,1,1.000489955,0.7%,-0.8%,Baldwin Park,23.0,-11.5%,-30.3%,70.0,4.5%,-13.6%,40.0,-8.0,21.0,328.92804699,0.110073337,0.094893359,420800.0,-0.043636364,0.052000000000000005,325.0,-0.012962963,0.121492537,$405K,7.3%,8.6%,3.0,0.4,0.5,37.0,19.4%,-14.0%,2/1/2017,30,2/28/2017,,,,All Residential,"Baldwin Park, CA",place,0.434782609,0.011705686000000002,0.071146245,California,CA,998.0,Baldwin Park
79051,3350807,Value,,1,0.978171087,-1.1%,-0.7%,Banning,43.0,48.3%,48.3%,119.0,-5.6%,-13.1%,51.0,-5.0,9.0,176.03046012599998,0.012370735,0.137309842,237700.0,-0.001260504,0.013646055,165.191740413,0.083797662,0.058510181,$227K,0.9%,19.5%,2.8,-1.5,-1.9,54.0,-8.5%,5.9%,2/1/2017,30,2/28/2017,0.016806723,-0.007002801,0.009507453,All Residential,"Banning, CA",place,0.279069767,-0.06575781900000001,0.037690457,California,CA,1029.0,Banning
79052,3350808,Value,,1,1.011063833,4.0%,2.2%,Bay Point,13.0,-13.3%,160.0%,13.0,-27.8%,-27.8%,14.0,-22.0,-14.0,241.859260413,-0.013062381,-0.025665531,399450.0,0.210454545,0.12529051300000002,250.791640279,-0.02379354,0.180136469,$337K,-0.9%,-10.1%,1.0,-0.2,-2.6,18.0,5.9%,-10.0%,2/1/2017,30,2/28/2017,,,,All Residential,"Bay Point, CA",place,0.615384615,0.14871794900000002,0.415384615,California,CA,21367.0,Bay Point
79053,3350809,Value,,1,0.982841219,-0.1%,-1.2%,Beaumont,51.0,-1.9%,-10.5%,190.0,4.4%,0.0%,48.0,-16.0,-10.0,154.43074092700002,0.00755755,0.087824581,320000.0,0.066702223,0.123792801,143.33333333299998,-0.037883197,0.099405405,$300K,-0.6%,6.8%,3.7,0.2,0.4,92.0,10.8%,-13.2%,2/1/2017,30,2/28/2017,,,,All Residential,"Beaumont, CA",place,0.235294118,-0.053167421,-0.08049535599999999,California,CA,1259.0,Beaumont
79054,3350810,Value,,1,0.975721365,-1.2%,-0.9%,Bellflower,21.0,40.0%,-12.5%,63.0,-10.0%,-4.5%,38.0,-41.0,-19.0,342.121212121,-0.018054965,0.045206202,469250.0,-0.036348701,0.0547314,321.875,0.072916667,-0.04260498,$450K,2.3%,12.5%,3.0,-1.7,0.2,28.0,-30.0%,-12.5%,2/1/2017,30,2/28/2017,,,,All Residential,"Bellflower, CA",place,0.380952381,0.180952381,0.130952381,California,CA,1328.0,Bellflower
79055,3350811,Value,,1,1.062819533,2.7%,-1.5%,Belmont,10.0,-33.3%,-28.6%,23.0,76.9%,64.3%,9.0,-44.0,-3.0,729.365079365,-0.22215806,0.111321888,1488000.0,0.302407002,-0.020392041,1040.944061245,0.479514402,0.225498658,"$1,646K",5.8%,13.1%,2.3,1.4,1.3,21.0,16.7%,50.0%,2/1/2017,30,2/28/2017,,,,All Residential,"Belmont, CA",place,0.6,0.0,-0.32857143,California,CA,1362.0,Belmont
79056,3350812,Value,,1,0.993627832,-0.5%,0.8%,Benicia,16.0,-23.8%,-42.9%,49.0,-14.0%,8.9%,44.0,-22.0,-20.0,324.086603518,0.039614637,0.09523202,625000.0,-0.056603774,0.106390512,318.025207749,-0.054131479,0.187434938,$515K,29.6%,-3.7%,3.1,0.4,1.5,21.0,-47.5%,-22.2%,2/1/2017,30,2/28/2017,,,,All Residential,"Benicia, CA",place,0.1875,-0.24107143,-0.0625,California,CA,1415.0,Benicia
79057,3350813,Value,,1,1.142928357,6.0%,-1.4%,Berkeley,29.0,7.4%,-12.1%,52.0,6.1%,-1.9%,15.0,-13.0,-1.0,582.552510689,0.066762824,0.05033844,947000.0,-0.031944305,0.115429918,745.493766224,0.129099881,0.176325133,$956K,-1.1%,19.5%,1.8,0.0,0.2,50.0,4.2%,-7.4%,2/1/2017,30,2/28/2017,0.019230769,-0.021585557,,All Residential,"Berkeley, CA",place,0.75862069,0.091954023,-0.059561129,California,CA,1590.0,Berkeley
79058,3350814,Value,,1,0.945015555,-0.4%,-1.4%,Beverly Hills,39.0,0.0%,-11.4%,264.0,3.9%,-6.0%,97.0,26.0,50.0,930.014783691,-0.022493016,0.06446835,2947000.0,-0.11501502,0.284095861,800.498753117,0.143569647,-0.013849053,"$1,610K",-26.8%,-16.6%,6.8,0.3,0.4,80.0,-1.2%,-25.2%,2/1/2017,30,2/28/2017,0.022727273,-0.004831782,0.012051116,All Residential,"Beverly Hills, CA",place,0.076923077,-0.025641026,-0.082167832,California,CA,1669.0,Beverly Hills
79059,3350815,Value,,1,0.974736904,-0.4%,0.7%,Big Bear City,40.0,-4.8%,2.6%,172.0,-7.0%,-7.0%,84.0,-39.0,-7.0,204.534069923,0.016003608,0.07638740200000001,291500.0,0.396741735,0.355813953,171.002198104,-0.021735439,-0.1241768,$215K,8.9%,-21.5%,4.3,-0.1,-0.4,46.0,27.8%,-33.3%,2/1/2017,30,2/28/2017,0.011627907,,-0.0045883090000000005,All Residential,"Big Bear City, CA",place,0.15,-0.04047619,-0.055128205,California,CA,21490.0,Big Bear City
79060,3350816,Value,,1,0.961628153,-0.5%,0.6%,Big Bear Lake,29.0,-14.7%,-21.6%,165.0,-14.1%,7.8%,94.0,-49.0,17.0,235.193905817,-0.072972664,0.040861302,369000.0,-0.22964509,0.14418604699999998,228.23529411799998,0.040259235,0.02913369,$415K,28.5%,38.3%,5.7,0.1,1.6,32.0,10.3%,-23.8%,2/1/2017,30,2/28/2017,0.006060606,,-0.000475342,All Residential,"Big Bear Lake, CA",place,0.068965517,-0.078093306,-0.066169618,California,CA,1692.0,Big Bear Lake
79061,3350817,Value,,1,0.975684918,-0.5%,0.6%,Bloomington,12.0,-42.9%,-40.0%,48.0,4.3%,-11.1%,46.0,-14.0,-19.0,211.24717444700002,-0.069383578,0.008466411,340000.0,0.156462585,0.269130272,198.18802017,-0.029121877,-0.0048683170000000005,$300K,0.8%,4.3%,4.0,1.8,1.3,23.0,21.1%,-30.3%,2/1/2017,30,2/28/2017,0.020833333,-0.000905797,-0.016203704,All Residential,"Bloomington, CA",place,0.5,0.261904762,0.3,California,CA,21531.0,Bloomington
79062,3350818,Value,,1,0.973787144,0.6%,-0.4%,Bonita,18.0,50.0%,-5.3%,37.0,-9.8%,-47.1%,34.0,3.0,-11.0,292.866988284,0.041922095,0.174943774,685000.0,0.096004384,0.062097837,283.340278191,0.016036843999999998,0.150486075,$595K,19.0%,6.3%,2.1,-1.3,-1.6,25.0,-10.7%,-30.6%,2/1/2017,30,2/28/2017,0.027027027,-0.021753461,0.012741313,All Residential,"Bonita, CA",place,0.111111111,-0.055555556,-0.099415205,California,CA,21559.0,Bonita
79063,3350819,Value,,1,0.984673206,0.2%,1.1%,Brea,30.0,-25.0%,11.1%,87.0,0.0%,0.0%,82.0,13.0,31.0,370.900321543,-0.00380416,0.061745303,717000.0,-0.042084168,0.062222222,364.191625895,0.086835759,0.143789325,$669K,9.9%,4.0%,2.9,0.7,-0.3,48.0,9.1%,-7.7%,2/1/2017,30,2/28/2017,0.011494253,,-0.011494253,All Residential,"Brea, CA",place,0.233333333,0.008333333,0.085185185,California,CA,2099.0,Brea
79064,3350820,Value,,1,1.002067237,0.8%,1.1%,Brentwood,56.0,-3.4%,-13.8%,96.0,-2.0%,-10.3%,33.0,-12.0,-19.0,232.806635067,0.006895079,0.038107717,578950.0,0.033839286,0.052732067,232.76983501599997,0.050695678,0.049422135,$518K,-4.6%,-3.3%,1.7,0.0,0.1,74.0,25.4%,-18.7%,2/1/2017,30,2/28/2017,,,,All Residential,"Brentwood, CA",place,0.571428571,0.192118227,0.202197802,California,CA,2112.0,Brentwood
79065,3350821,Value,,1,0.990136308,1.2%,0.4%,Buena Park,45.0,-8.2%,18.4%,110.0,12.2%,-14.1%,66.0,7.0,22.0,380.94867807199995,0.117449456,0.119308492,559900.0,0.037043897,0.08308347,366.795366795,0.070030622,0.094908114,$540K,0.9%,20.5%,2.4,0.4,-1.0,69.0,30.2%,-17.9%,2/1/2017,30,2/28/2017,0.018181818,-0.002226345,0.010369318,All Residential,"Buena Park, CA",place,0.15555555599999998,-0.13015873,-0.002339181,California,CA,2280.0,Buena Park
79066,3350822,Value,,1,0.999659594,0.0%,0.7%,Burbank,48.0,-15.8%,17.1%,118.0,-5.6%,12.4%,50.0,-7.0,27.0,475.408487242,0.003387677,0.07847431,684992.5,-0.033861072,0.067049615,472.858006405,0.017383554,0.110111507,$668K,-8.5%,-1.0%,2.5,0.3,-0.1,70.0,16.7%,0.0%,2/1/2017,30,2/28/2017,0.008474576,-0.007525424,,All Residential,"Burbank, CA",place,0.395833333,-0.060307018,0.054369919,California,CA,2320.0,Burbank
79067,3350823,Value,,1,1.056655252,5.0%,4.0%,Burlingame,19.0,46.2%,46.2%,28.0,-3.4%,-15.2%,18.0,-9.0,2.0,901.736111111,0.151162594,0.116345028,1788000.0,0.562937063,0.060183813,860.246198407,-0.1080104,0.05876455200000001,"$1,200K",-28.9%,-22.6%,1.5,-0.7,-1.0,27.0,22.7%,-10.0%,2/1/2017,30,2/28/2017,0.035714286,,0.005411255,All Residential,"Burlingame, CA",place,0.6315789470000001,0.016194332,0.016194332,California,CA,2350.0,Burlingame
79068,3350824,Value,,1,0.982593316,2.7%,1.5%,Calabasas,17.0,21.4%,-26.1%,97.0,-1.0%,2.1%,38.0,-56.0,-33.0,454.34521425699995,-0.004599539000000001,0.086632481,1360000.0,0.221374594,0.198765976,404.608788853,-0.032242481,0.072509346,$830K,-37.8%,-14.2%,5.7,-1.3,1.6,31.0,-22.5%,-13.9%,2/1/2017,30,2/28/2017,0.010309278,-0.010098885,-0.021269669,All Residential,"Calabasas, CA",place,0.294117647,0.294117647,0.033248082000000005,California,CA,2471.0,Calabasas
79069,3350825,Value,,1,0.95739173,-0.5%,-0.7%,California City,18.0,5.9%,-5.3%,72.0,-6.5%,-23.4%,38.0,-63.0,-43.0,86.731391586,0.022517459,0.245761011,136000.0,-0.06142167,0.183123097,77.718096837,0.02896631,0.213956673,$130K,3.2%,14.0%,4.0,-0.5,-0.9,25.0,8.7%,19.0%,2/1/2017,30,2/28/2017,0.027777778,0.001803752,-0.004137116,All Residential,"California City, CA",place,0.222222222,0.045751634000000006,0.011695906,California,CA,2515.0,California City
79070,3350826,Value,,1,0.981776424,-0.5%,-0.4%,Camarillo,64.0,-9.9%,28.0%,128.0,-11.1%,-30.4%,29.0,-11.0,-3.0,333.600276427,-0.002567544,0.041055239,559500.0,0.018291018,0.041996462000000005,318.165393351,-0.026077168,0.022336391,$537K,-1.1%,1.7%,2.0,0.0,-1.7,74.0,0.0%,-31.5%,2/1/2017,30,2/28/2017,0.0078125,-0.006076389000000001,-0.003057065,All Residential,"Camarillo, CA",place,0.109375,-0.073723592,-0.150625,California,CA,2579.0,Camarillo
79071,3350827,Value,,1,0.994410496,2.4%,0.1%,Cameron Park,23.0,27.8%,-8.0%,35.0,-10.3%,-38.6%,25.0,-5.0,-26.0,226.704021805,-0.005990058,0.138875322,449000.0,0.044428937,0.1225,214.424951267,0.0587134,0.11796382,$414K,-4.4%,0.9%,1.5,-0.7,-0.8,26.0,23.8%,-36.6%,2/1/2017,30,2/28/2017,,,,All Residential,"Cameron Park, CA",place,0.347826087,0.070048309,0.187826087,California,CA,21744.0,Cameron Park
79072,3350828,Value,,1,1.053699745,3.6%,0.1%,Campbell,31.0,-24.4%,40.9%,59.0,25.5%,5.4%,9.0,-24.0,-2.0,641.447368421,-0.003897699,0.05699370700000001,1100000.0,0.000454752,0.001821494,665.872770511,0.099040531,0.091365471,"$1,132K",16.1%,2.3%,1.9,0.8,-0.6,46.0,0.0%,-24.6%,2/1/2017,30,2/28/2017,,,,All Residential,"Campbell, CA",place,0.774193548,0.16443745099999998,0.046920821,California,CA,2673.0,Campbell
79073,3350829,Value,,1,0.984413185,0.9%,3.0%,Canyon Lake,16.0,-33.3%,0.0%,92.0,3.4%,-27.6%,100.0,7.0,61.0,192.197802198,-0.10724072,0.004381818,399900.0,-0.023437262,0.054449572,178.03426680400003,-0.13150548,0.092814611,$398K,5.4%,25.3%,5.8,2.1,-2.1,31.0,40.9%,-46.6%,2/1/2017,30,2/28/2017,0.010869565,,0.002995549,All Residential,"Canyon Lake, CA",place,0.1875,-0.020833333,0.0625,California,CA,2815.0,Canyon Lake
79074,3350830,Value,,1,0.985514154,0.5%,0.8%,Carlsbad,115.0,5.5%,7.5%,241.0,-6.2%,-22.3%,27.0,-11.0,0.0,378.691174537,0.014519903,0.081334339,794000.0,0.053050398,0.134853141,358.771929825,0.009391419,0.078301089,$655K,-14.0%,2.3%,2.1,-0.3,-0.8,170.0,11.8%,-13.3%,2/1/2017,30,2/28/2017,0.008298755,-0.003374397,,All Residential,"Carlsbad, CA",place,0.252173913,0.14208217,0.121332792,California,CA,2891.0,Carlsbad
79075,3350831,Value,,1,0.949043064,0.3%,-1.9%,Carmel-by-the-Sea,17.0,-26.1%,30.8%,141.0,6.8%,6.0%,121.0,-8.0,74.0,795.4038209739999,0.355492414,0.275321389,1309500.0,-0.003424658,0.008859784,603.293949159,0.069547236,0.146132555,"$1,365K",7.1%,36.6%,8.3,2.6,-1.9,34.0,13.3%,21.4%,2/1/2017,30,2/28/2017,0.014184397,-0.031270148,-0.015890791,All Residential,"Carmel-by-the-Sea, CA",place,0.117647059,0.117647059,-0.036199095,California,CA,2908.0,Carmel-by-the-Sea
79076,3350832,Value,,1,0.992868426,0.8%,0.6%,Carmichael,85.0,57.4%,26.9%,102.0,-13.6%,-33.3%,43.0,-6.0,2.0,215.99141177099997,0.020837458,0.116979588,329749.5,-0.030148529,-0.042817126,192.644483363,-0.044565173,0.02457211,$336K,7.9%,12.4%,1.2,-1.0,-1.1,78.0,13.0%,-18.8%,2/1/2017,30,2/28/2017,0.009803922,-0.015619807,-0.009803922,All Residential,"Carmichael, CA",place,0.305882353,-0.02745098,0.067076383,California,CA,21809.0,Carmichael
79077,3350833,Value,,1,0.99678913,1.0%,-0.1%,Carson,47.0,-4.1%,14.6%,100.0,-4.8%,1.0%,51.0,8.0,6.0,324.819494585,0.019271834,0.099827412,425000.0,0.013231613,-0.031890661,294.976635514,-0.043868837,-0.022562628,$460K,0.0%,8.1%,2.1,0.0,-0.3,57.0,-8.1%,-16.2%,2/1/2017,30,2/28/2017,0.02,0.010476191,0.00989899,All Residential,"Carson, CA",place,0.34042553200000003,-0.14937039,-0.1229891,California,CA,2990.0,Carson
79078,3350834,Value,,1,0.977032181,1.3%,3.4%,Casa de Oro-Mount Helix,28.0,75.0%,55.6%,45.0,-6.3%,-51.1%,75.0,-9.0,8.0,303.98349835,-0.037068543,0.028760525,654000.0,0.006155394000000001,0.114139693,296.57495642099997,0.16627587,0.238453356,$633K,16.7%,36.3%,1.6,-1.4,-3.5,22.0,-18.5%,-47.6%,2/1/2017,30,2/28/2017,0.044444444000000013,0.002777778,0.011835749,All Residential,"Casa de Oro-Mount Helix, CA",place,0.107142857,0.044642857,-0.11507937,California,CA,21830.0,Casa de Oro-Mount Helix
79079,3350835,Value,,1,0.99165448,0.4%,1.3%,Castaic,20.0,53.8%,-13.0%,46.0,-11.5%,-4.2%,52.0,1.0,4.0,268.884268884,0.094231009,0.117338737,531000.0,0.031168075,0.08934249699999999,250.75208304400002,0.068320503,0.020919195,$517K,13.5%,18.5%,2.3,-1.7,0.2,23.0,-17.9%,-4.2%,2/1/2017,30,2/28/2017,,,,All Residential,"Castaic, CA",place,0.4,0.16923076899999998,0.052173913,California,CA,35836.0,Castaic
